Player Name,Last Updated,Name,Birthday,Country,Team,Mouse Model,Mouse DPI,Mouse Sensitivity
Aerial,31 May 2023,Jani Jussila,"June 11, 1993",Finland,HAVU,ZOWIE EC2-A,400,2.20
Kjaerbye,26 Nov 2023,Markus Kjærbye,"April 27, 1998",Denmark,Free Agent,SteelSeries Aerox 3 Wireless Black,400,1.60
AcilioN,12 Sep 2023,Asger Larsen,"September 25, 1996",Denmark,Retired,ZOWIE FK1+,400,2.20
jkaem,30 Aug 2023,Joakim Myrbostad,"February 27, 1994",Norway,Apeks,ZOWIE EC2-CW,400,1.60
Maka,14 Feb 2024,Bryan Canda,"July 6, 1997",France,3DMAX,Razer Viper V3 Pro White (Unreleased),400,2.00
Woro2k,22 Feb 2024,Volodymyr Veletniuk,"August 8, 2001",Ukraine,Monte,Logitech G Pro X Superlight 2 Black,400,2.03
flamie,16 Mar 2024,Egor Vasilyev,"April 5, 1997",Russia,CYBERSHOKE,WLMouse BEAST X Silver,400,1.60
lollipop21k,24 Feb 2024,Igor Solodkov,"June 21, 1996",Belarus,Betera,Logitech G Pro X Superlight 2 Magenta,800,1.25
Jonji,31 Jul 2023,Jonathan Carey,"September 5, 1999",Canada,Free Agent,Razer Deathadder V3 Pro Black,400,2.00
lauNX,15 Mar 2024,Laurentiu Tarlea,"May 10, 2005",Romania,Falcons Esports,Logitech G Pro X Superlight Black,800,1.5
HEAP,04 Jan 2024,Ludvig Alonso,"December 24, 1999",Sweden,EYEBALLERS,ZOWIE EC2-CW,400,1.45
hallzerk,04 Mar 2024,Håkon Fjærli,"July 14, 2000",Norway,Complexity,ZOWIE EC2-CW,400,1.7
f0rest,03 Oct 2023,Patrik Lindberg,"June 10, 1988",Sweden,Free Agent,Xtrfy MZ1 Wireless,400,3.50
friberg,30 Dec 2023,Adam Friberg,"October 19, 1991",Sweden,Free Agent,VAXEE OUTSET AX Wireless Yellow,800,1.10
n0rb3r7,17 Feb 2024,David Daniyelyan,"March 11, 2001",Armenia,Virtus.pro,Logitech G Pro X Superlight 2 White,800,1.55
deko,20 Feb 2024,Denis Zhukov,"July 10, 2001",Russia,Aurora,Razer Viper V2 Pro White,800,1.35
leo_drk,08 Jan 2024,Leonardo Oliveira,"October 19, 1999",Brazil,Los Grandes,Pulsar Xlite Wireless,400,1.40
ZEDKO,16 Dec 2023,Jindřich Chyba,"May 3, 1998",Czechia,Team Sampi,VAXEE OUTSET AX,800,0.49
beastik,28 Dec 2022,Sebastian Daňo,"January 5, 1998",Czechia,SINNERS Esports,Xtrfy M4 Black,500,0.90
NBK-,02 Mar 2024,Nathan Schmitt,"June 5, 1994",France,Falcons Esports,ZOWIE S2 Divina Blue,800,1.20
jks,27 Feb 2024,Justin Savage,"December 12, 1995",Australia,Free Agent,Razer Deathadder V3 Pro White,400,1.7
sdy,22 Feb 2024,Victor Orudzhev,"March 14, 1997",Ukraine,Monte,Razer Viper V3 Pro White (Unreleased),800,1
kNgV-,06 Jan 2024,Vito Giuseppe,"September 26, 1992",Brazil,O PLANO,Logitech G Pro X Superlight White,400,3.1
try,14 Sep 2023,Santino Rigal,"September 23, 2004",Argentina,9z Team,ZOWIE EC2-CW,400,2.909
malbsMd,05 Mar 2024,Mario Samayoa,"October 17, 2002",Guatemala,M80,Logitech G Pro X Superlight 2 Black,400,2.00
vsm,27 Oct 2023,Vinicius Moreira,"July 2, 1999",Brazil,Fluxo,ZOWIE EC3-CW,800,1.2
ALEX,29 Dec 2022,Alex McMeekin,"September 28, 1995",United Kingdom,Free Agent,Razer Deathadder V3 Pro Black,400,2.00
Lucky,20 Mar 2024,Lukas Chastang,"April 6, 1998",France,3DMAX,Logitech G Pro X Superlight Black,400,3.09
NEKIZ,23 Sep 2023,Gabriel Schenato,"November 17, 1995",Brazil,Legacy,Logitech G Pro X Superlight White,400,2.6
maden,16 Mar 2024,Pavle Bošković,"November 12, 1998",Montenegro,Falcons Esports,ZOWIE EC2-C,800,2
Spinx,15 Jan 2024,Lotan Giladi,"September 13, 2000",Israel,Team Vitality,Razer Deathadder V3 Pro White,900,1.1
hades,11 Mar 2024,Aleksander Miskiewicz,"January 1, 2000",Poland,ENCE,ZOWIE U2,400,1.9
dycha,18 Mar 2024,Paweł Dycha,"August 11, 1997",Poland,ENCE,ZOWIE EC2-CW,400,1.86
Snappi,14 Feb 2024,Marco Pfeiffer,"June 9, 1990",Denmark,Falcons Esports,ZOWIE U2,400,1.95
MSL,22 Sep 2023,Mathias Lauridsen,"December 6, 1994",Denmark,Retired,Pulsar Xlite V2 Wireless,400,1.60
Luken,29 Feb 2024,Luca Nadotti,"March 26, 1997",Argentina,Free Agent,Logitech G Pro X Superlight Black,800,2.45
sk0R,25 Jan 2024,Tengis Batjargal,"May 12, 2002",Mongolia,The Huns Esports,Logitech G Pro X Superlight White,800,1.3
Hatz,29 Dec 2022,Jordan Bajic,"June 20, 1998",Australia,Free Agent,ZOWIE EC2,800,1.00
bLitz,01 Feb 2024,Byambasuren Garidmagnai,"June 26, 2001",Mongolia,The Mongolz,Logitech G Pro X Superlight 2 Magenta,400,1.5
yuurih,18 Mar 2024,Yuri Santos,"December 22, 1999",Brazil,FURIA,ZOWIE EC1-CW,400,2.50
arT,05 Mar 2024,Andrei Piovezan,"March 27, 1996",Brazil,FURIA,Razer Deathadder V3 Pro Black,800,1.45
boltz,17 Feb 2024,Ricardo Prass,"April 10, 1997",Brazil,O PLANO,Xtrfy M8 Frosty Mint,800,1.25
fnx,06 Jan 2024,Lincoln Lau,"January 30, 1990",Brazil,O PLANO,Fallen Gear F65 Mars,400,2.5
Sico,09 Dec 2023,Simon Williams,"August 8, 1994",Australia,Grayhound Gaming,ZOWIE EC2-B,400,1.8
nin9,25 Jan 2024,Yesuntumur Gantulga,"April 3, 1998",Mongolia,The Huns Esports,Razer Deathadder V3 Pro Black,400,2
kabal,09 Dec 2023,Bat-Enkh Batbayar,"June 1, 1995",Mongolia,Free Agent,Logitech G Pro X Superlight Red,400,1.8
Techno4K,18 Mar 2024,Sodbayar Munkhbold,"May 20, 2005",Mongolia,The Mongolz,Logitech G Pro X Superlight 2 White,400,1.7
saffee,28 Nov 2023,Rafael Costa,"December 19, 1994",Brazil,MIBR,VAXEE OUTSET AX Wireless Blue,400,2.00
drop,04 Mar 2024,André Abreu,"January 15, 2004",Brazil,MIBR,Logitech G Pro X Superlight 2 White,400,2.3
INS,15 Mar 2024,Joshua Potter,"September 22, 1998",Australia,Grayhound Gaming,Logitech G Pro Wireless,800,1.20
kscerato,04 Mar 2024,Kaike Cerato,"September 12, 1999",Brazil,FURIA,ZOWIE EC2-CW,800,1.255
aliStair,16 Oct 2023,Alistair Johnston,"April 7, 1998",Australia,Grayhound Gaming,ZOWIE EC2-CW,400,1.90
woxic,06 Feb 2024,Özgür Eker,"September 2, 1998",Turkey,Eternal Fire,SteelSeries Sensei Ten,1600,1.5
exit,01 Feb 2024,Raphael Lacerda,"August 29, 1996",Brazil,MIBR,VAXEE ZYGEN NP-01S Wireless Blue,800,1.00
chelo,11 Mar 2024,Marcelo Cespedes,"June 8, 1998",Brazil,FURIA,ZOWIE EC2-CW,400,3.5
hampus,27 Dec 2023,Hampus Poser,"November 26, 1998",Sweden,Bleed eSports,Razer DeathAdder Elite,400,1.67
Plopski,28 Nov 2023,Nicolas Gonzalez Zamora,"May 14, 2002",Sweden,GODSENT,Razer Deathadder V3 Pro Black,800,1.50
Ax1Le,24 Jan 2024,Sergey Rykhtorov,"April 29, 2002",Russia,Cloud9,ZOWIE EC2-C,800,1.50
Xeppaa,03 Jan 2024,Erick Bach,"July 19, 2000",United States,Cloud9,ZOWIE EC2-CW,1600,0.14
nafany,24 Jan 2024,Vladislav Gorshkov,"June 15, 2001",Russia,BetBoom Team,ZOWIE EC2-CW,400,2.00
faveN,29 Dec 2023,Josef Baumann,"February 8, 2000",Germany,Bleed eSports,Logitech G Pro X Superlight White,400,2.10
Calyx,26 Feb 2024,Buğra Arkın,"July 27, 1998",Turkey,Eternal Fire,VAXEE XE Wireless Blue,800,1.9
xfl0ud,28 Nov 2023,Yasin Koç,"December 23, 2002",Turkey,Sangal,ZOWIE EC3-CW,800,1.05
chopper,13 Mar 2024,Leonid Vishnyakov,"February 4, 1997",Russia,Team Spirit,VAXEE ZYGEN NP-01S Wireless White,400,1.40
Liazz,24 Jan 2024,Jay Tregillgas,"August 30, 1997",Australia,Grayhound Gaming,ZOWIE EC2-CW,800,0.95
Jame,19 Mar 2024,Dzhami Ali,"August 23, 1998",Russia,Virtus.pro,Razer Deathadder V3 Pro Black,400,2
Qikert,08 Jan 2024,Aleksei Golubev,"January 1, 1999",Kazakhstan,PARIVISION,VAXEE XE Wireless Black,400,2.20
FL1T,19 Mar 2024,Evgeny Lebedev,"December 20, 2000",Russia,Virtus.pro,Logitech G Pro X Superlight 2 White,400,1.55
buster,07 Nov 2023,Timur Tulepov,"December 7, 1999",Kazakhstan,Cloud9,ZOWIE ZA12-C,400,2.20
Patsi,08 Jan 2024,Robert Isyanov,"September 6, 2003",Russia,PARIVISION,Logitech G Pro X Superlight Red,400,1.9
magixx,26 Dec 2023,Boris Vorobiev,"June 3, 2003",Russia,Team Spirit,VAXEE OUTSET AX Yellow,400,1.337
degster,20 Feb 2024,Abdul Gasanov,"July 21, 2001",Russia,OG Esports,Logitech G Pro X Superlight 2 Black,400,2.75
syrsoN,13 Feb 2024,Florian Rische,"April 19, 1996",Germany,BIG,Logitech G Pro X Superlight White,1600,0.92
KRIMZ,17 Feb 2024,Freddy Johansson,"April 25, 1994",Sweden,Fnatic,Logitech G Pro X Superlight 2 Magenta,400,1.40
Valde,30 Aug 2023,Valdemar Bjørn Vangså,"June 12, 1995",Denmark,TSM,VAXEE XE Pink,400,1.65
MUTiRiS,24 Feb 2024,Christopher Fernandes,"December 26, 1992",Portugal,SAW,ZOWIE EC1-CW,400,3.05
AZR,29 Apr 2023,Aaron Ward,"October 2, 1992",Australia,Free Agent,Logitech G Pro X Superlight Red,400,2.40
afro,18 Jan 2024,Aurélien Drapier,"June 11, 1999",France,Fnatic,Logitech G Pro X Superlight Black,800,1.00
Ex3rcice,17 Feb 2024,Pierre Bulinge,"February 4, 2000",France,3DMAX,Logitech G Pro X Superlight 2 Black,400,2.00
Djoko,18 Jan 2024,Thomas Pavoni,"April 16, 1997",France,3DMAX,Logitech G Pro X Superlight Black,800,1.00
DeathZz,28 Nov 2023,Raúl Jordán Nieto,"January 31, 1996",Spain,Free Agent,VAXEE OUTSET AX Wireless White,400,2.25
bubble,31 Oct 2023,Karem Kostadinov,"August 7, 1991",Bulgaria,Retired,Logitech G403 HERO,400,1.75
Gratisfaction,02 Mar 2024,Sean Kaiwai,"March 6, 1996",New Zealand,Team NKT,Logitech G Pro X Superlight 2 Black,800,1.1875
SHiPZ,17 May 2023,Georgi Grigorov,"August 16, 2000",Bulgaria,500,ZOWIE EC2-CW,400,2.40
frozen,07 Mar 2024,David Čerňanský,"July 18, 2002",Slovakia,FaZe Clan,Razer Deathadder V3 Pro White,400,2
Bymas,23 Nov 2023,Aurimas Pipiras,"August 12, 2003",Lithuania,Into The Breach,Logitech G403 HERO,800,1.35
torzsi,20 Jan 2024,Ádám Torzsás,"May 17, 2002",Hungary,MOUZ,VAXEE OUTSET AX Wireless Orange,800,1.00
imoRR,14 Nov 2023,Ömer Karataş,"December 20, 1999",Turkey,Eternal Fire,Razer Deathadder V3 Pro White,400,2.20
dexter,28 Feb 2024,Chris Nong,"August 15, 1994",Australia,Grayhound Gaming,ZOWIE EC2-CW,1600,0.65
rmn,31 Jul 2023,Ricardo Oliveira,"May 14, 1992",Portugal,SAW,VAXEE XE Wireless Yellow,400,1.28
acoR,24 Feb 2024,Frederik Gyldstrand,"June 24, 1997",Denmark,GamerLegion,Logitech G Pro X Superlight 2 Black,400,1.97
niko,30 Dec 2023,Nikolaj Kristensen,"May 28, 1998",Denmark,Sashi,Razer Deathadder V3 Pro Black,400,1.30
biguzera,18 Mar 2024,Rodrigo Bittencourt,"February 18, 1997",Brazil,paiN Gaming,ZOWIE EC1-CW,400,1.85
flameZ,13 Feb 2024,Shahar Shushan,"June 22, 2003",Israel,Team Vitality,ZOWIE EC2-CW,400,3.60
oskar,29 Apr 2023,Tomáš Šťastný,"June 27, 1991",Czechia,SINNERS Esports,VAXEE OUTSET AX,400,3.50
nexa,17 Feb 2024,Nemanja Isaković,"April 25, 1997",Serbia,G2 Esports,ZOWIE EC2-CW,800,1.05
mantuu,03 Mar 2024,Mateusz Wilczewski,"August 21, 1997",Poland,BIG,Logitech G Pro Wireless,400,2.10
NEOFRAG,16 Dec 2023,Adam Zouhar,"May 19, 2001",Czechia,SINNERS Esports,Logitech G Pro X Superlight Red,400,1.45
SHOCK,18 Dec 2023,Max Kvapil,"October 29, 2000",Czechia,SINNERS Esports,ZOWIE EC2-CW,400,1.17
Lekr0,08 Dec 2023,Jonas Olofsson,"July 2, 1993",Sweden,IKLA,Logitech G Pro Wireless,800,1.00
twist,06 Mar 2024,Simon Eliasson,"December 12, 1994",Sweden,Alliance,Razer Viper V2 Pro White,400,2.00
stadodo,17 Mar 2024,Renato Gonçalves,"November 17, 1996",Portugal,KOI,ZOWIE EC2-CW,400,2.40
arki,11 Apr 2023,Omar Chakkor,"December 7, 1989",Spain,Free Agent,VAXEE OUTSET AX,800,1.11
JUST,06 Jan 2024,Tiago Moura,"April 29, 1996",Portugal,KOI,ZOWIE EC2-CW,400,1.90
hardzao,02 Mar 2024,Wesley Lopes,"January 16, 2001",Brazil,RED Canids,Logitech G Pro X Superlight 2 Magenta,400,2.00
ErycTriceps,28 Nov 2023,Erikas Vaitkevicius,N/A,Lithuania,Content Creator,Lamzu Atlantis Mini,1600,0.45
Nicks,28 Nov 2023,Nicollas Polonio de Oliveira,N/A,Brazil,MIBR Academy,Logitech G Pro X Superlight 2 Black,400,1.42
Cabbi,03 Nov 2023,Casper Jensen,"May 29, 1998",Denmark,Espionage,ZOWIE S2,800,0.755
day0s,28 Feb 2024,Paul Niel,N/A,France,Twisted Minds,Logitech G Pro X Superlight 2 Magenta,400,1.57
KaiR0N-,12 Oct 2023,Aleksandr Anashkin,"January 31, 2004",Russia,BetBoom Team,ZOWIE S2 Divina Blue,800,0.88
Neityu,07 Mar 2024,Ryan Aubry,N/A,France,MOUZ NXT,Razer Deathadder V3 Pro White,400,1.5
Kursy,23 Jan 2023,Jeremy Gast,N/A,France,Nakama,Video,400,2
history,08 Jan 2024,Allan Lawrenz,"June 8, 2004",Brazil,Los Grandes,ZOWIE EC2-CW,400,2
ANa,19 Jan 2023,Ana Dumbravă,N/A,Romania,Nigma Galaxy,Logitech G Pro X Superlight Black,400,1.7
r1nkle,13 Feb 2024,Artem Moroz,"October 27, 2004",Ukraine,B8 Esports,ZOWIE EC2-CW,400,2.66
maxster,14 Feb 2024,Max Jansson,N/A,Sweden,Young Ninjas,ZOWIE EC1-CW,800,0.68
insani,01 Feb 2024,Felipe Yuji,N/A,Brazil,MIBR,VAXEE ZYGEN NP-01S Wireless Black,800,1.1
Bart4k,25 Jan 2024,Baatarkhuu Batbold,"May 29, 2004",Mongolia,The Huns Esports,Logitech G Pro X Superlight Red,400,2
Maze,09 Jan 2024,Mikkel Sparvath,"June 19, 2001",Denmark,Team Secret,Logitech G Pro X Superlight Black,400,2.1
hyped,21 Jun 2023,Marcel Köhn,"April 30, 2001",Germany,BIG Academy,Logitech G Pro X Superlight Black,400,3.09
r3salt,24 Feb 2024,Evgeny Frolov,"February 14, 2005",Russia,forZe,Logitech G Pro X Superlight Red,400,1.8
lattykk,02 Mar 2024,Vladislav Vydrin,"July 26, 2005",Russia,Aurora,Logitech G Pro X Superlight Magenta,1600,0.9
TRAVIS,28 Dec 2023,Aleksandr Timkiv,"December 3, 1997",Russia,AMKAL,Logitech G Pro X Superlight Black,800,1
donk,16 Mar 2024,Danil Kryshkovets,"January 25, 2007",Russia,Team Spirit,Logitech G Pro X Superlight Magenta,800,1.25
mynio,17 Feb 2024,Wiktor Kruk,"September 26, 1995",Poland,9INE,Razer Deathadder V3 Pro Black,800,1
Kylar,06 Feb 2024,Kacper Walukiewicz,"September 22, 1999",Poland,ENCE,Logitech G Pro X Superlight 2 White,400,1.77
Razzmo,04 Mar 2023,Matthieu Mellot,N/A,France,Nakama,Video,800,0.52
KEi,07 Nov 2023,Kamil Pietkun,"April 6, 2001",Poland,9INE,ZOWIE EC2-CW,400,1.7
ewjerkz,04 Mar 2023,Michel Magalhães,"September 24, 2000",Portugal,SAW,VAXEE XE Black,400,1.5
awzek,10 Mar 2023,Michalis Napoloni,"November 10, 1998",Greece,ALTERNATE aTTaX,Logitech G Pro X Superlight Black,400,1.59
story,18 Mar 2024,João Vieira,"April 23, 2002",Portugal,SAW,Logitech G Pro X Superlight 2 Black,400,2.75
FreeZe,10 Mar 2023,Lukas Hegmann,"July 24, 1998",Germany,ALTERNATE aTTaX,Logitech G Pro X Superlight Black,400,1.45
PerX,10 Mar 2023,Paul von Erdmannsdorff,"May 10, 1999",Germany,ALTERNATE aTTaX,Logitech G Pro X Superlight Black,800,0.85
n9xtz,15 Aug 2023,Leonardo Santos,N/A,Brazil,Meta Gaming,Logitech G Pro X Superlight Magenta,400,3.5
Moseyuh,08 Mar 2024,Chen Qianhao,"December 21, 2004",China,TyLoo,ZOWIE EC2-C,400,1.9
b0denmaster,06 Mar 2024,Jonathan Bodenmalm,"April 4, 1998",Sweden,Alliance,Razer Viper V2 Pro Black,400,1.5
MisteM,09 Jan 2024,Gareth Ries,"November 9, 2001",South Africa,Young Ninjas,Logitech G Pro X Superlight Magenta,400,1.33
AJTT,18 Jan 2024,Filip Dolenský,"June 19, 2001",Czechia,SINNERS Esports,Logitech G Pro Wireless,400,1.9
MoriiSko,20 Jun 2023,Josef Maurenc,"May 15, 2001",Czechia,Free Agent,Logitech G Pro X Superlight Magenta,400,1.485
Rutk0,19 Aug 2023,Rudolf Kovalčik,"November 15, 2002",Slovakia,Free Agent,Logitech G Pro X Superlight Black,800,1.65
red,20 Jun 2023,Christoph Hinrichs,"March 24, 1999",Germany,Free Agent,Logitech G Pro X Superlight Black,800,0.8
hasteka,06 Sep 2023,Chinguun Bayarmaa,"July 19, 1998",Mongolia,Free Agent,Logitech G Pro X Superlight Black,400,1.9
aristo,29 Apr 2023,Shengjun Jin,"May 13, 2004",China,TyLoo,Logitech G Pro X Superlight Black,800,1.25
amster,05 Apr 2023,Denys Ljashenko,"June 14, 2001",Ukraine,B8 Esports,Video,800,1.35
OWNER,05 Apr 2023,Mykhajlo Lymar,"January 14, 2003",Ukraine,B8 Esports,Logitech G Pro X Superlight Black,800,1.25
cptkurtka023,18 Nov 2023,Arsenyj Derevynskyj,"July 24, 1999",Ukraine,B8 Esports,Logitech G Pro X Superlight White,400,1.4
volt,25 Feb 2024,Sebastian Malos,"October 18, 2001",Romania,GamerLegion,Logitech G Pro X Superlight White,1600,0.4
CYPHER,03 Jan 2024,Cai Watson,"December 31, 2002",United Kingdom,Bleed eSports,Logitech G Pro X Superlight White,400,1.5
poka,28 Jan 2024,Kirill Starovoytov,N/A,Russia,Free Agent,Logitech G Pro X Superlight White,800,1
Altekz,29 Jul 2023,Alexander Givskov,"July 8, 2003",Denmark,Preasy,Logitech G Pro X Superlight Red,400,1.4
land1n,01 Feb 2024,Paulo Felipe,"December 1, 1993",Brazil,TropiCaos,ZOWIE EC2-CW,400,2.2
tatazin,01 Feb 2024,Alef Pereira,"September 20, 1993",Brazil,TropiCaos,ZOWIE EC2-CW,400,2.2
doc,23 Apr 2023,Danilo Barros,N/A,Brazil,TropiCaos,Razer Deathadder V3 Pro Black,800,1.1
arrozdoce,18 Feb 2024,Rafael Wing,"July 2, 2002",Portugal,SAW,Logitech G Pro X Superlight 2 Black,800,1
lcf,23 Apr 2023,Diogo Braga,N/A,Brazil,TropiCaos,Logitech G Pro X Superlight White,400,1.82
PANIX,14 Nov 2023,Max Hangebruch,"December 7, 1998",Germany,ALTERNATE aTTaX,Logitech G Pro X Superlight Black,400,2
CSO,23 Apr 2023,Cauã Staimbach,N/A,Brazil,TropiCaos,Logitech G Pro X Superlight Magenta,400,1.77
gokushima,15 Dec 2023,Erkhan Bagynanov,N/A,Russia,forZe,Logitech G Pro X Superlight Black,800,1.7
Thomas,17 Feb 2024,Thomas Utting,"January 11, 1998",United Kingdom,Into The Breach,ZOWIE EC2-B,400,1.45
ren,09 Mar 2024,N/A,N/A,Norway,Content Creator,Logitech G Pro X Superlight 2 White,800,0.75
Wicadia,26 Feb 2024,Ali Yalçın,"March 4, 2005",Turkey,Eternal Fire,Logitech G Pro X Superlight 2 Black,800,1.6
ritchiE,20 Jun 2023,Richard Mestdagh,"August 28, 1998",Belgium,Free Agent,FinalMouse Starlight Pro,800,0.75
Artfr0st,05 Feb 2024,Artem Kharitonov,"November 27, 2001",Russia,PARIVISION,Logitech G Pro X Superlight 2 Magenta,800,1.49
MaiL09,21 Nov 2023,N/A,N/A,Sweden,Young Gods,Xtrfy M8 Black,800,0.7
Chr1zN,28 May 2023,Christoffer Storgaard,N/A,Denmark,MOUZ NXT,Logitech G Pro X Superlight Black,800,0.85
Q-Q,22 Jun 2023,Marcus Krolak-Henriksen,"November 17, 2003",Denmark,Free Agent,Video,400,1.8
sl3nd,13 Jul 2023,Henrich Hevesi,"August 31, 2004",Hungary,Endpoint,Logitech G Pro X Superlight Black,800,0.65
tomiko,08 Jan 2024,Tomasz Uroda,"March 22, 2004",Poland,9INE,Logitech G Pro X Superlight Magenta,800,1
Nexius,21 Dec 2023,Bram Campana,"December 19, 2003",Belgium,OG Esports,Razer Deathadder V3 Pro Black,400,2.4
asran,15 Aug 2023,Mateusz Niewiatowski,"July 30, 2003",Poland,Free Agent,Razer Viper V2 Pro Black,400,1.8
maaryy,03 Feb 2024,Martin Nakonieczny,"June 19, 2001",Poland,Permitta Esports,Razer Viper V2 Pro White,400,1
darchevile,15 Aug 2023,Wojciech Klęba,"August 27, 1999",Poland,los kogutos,Razer Deathadder V3 Pro White,800,0.9
ROGA,14 Nov 2023,Marin Rogić,N/A,Croatia,Free Agent,Logitech G Pro X Superlight Black,800,1.39
Enzo,15 Aug 2023,Karol Lasota,"January 14, 1998",Poland,los kogutos,Razer Deathadder V3 Pro Black,400,1.72
alex666,30 Aug 2023,Aleksei Yarmoshchuk,"August 3, 2001",Ukraine,B8 Esports,Logitech G Pro X Superlight Black,400,1.7
Swisher,05 Mar 2024,Michael Schmid,"September 17, 1998",United States,M80,Logitech G Pro X Superlight 2 White,400,2.2
SELLTER,16 Mar 2024,Ivan Miroshnikov,"February 4, 2003",Russia,forZe,Logitech G Pro X Superlight 2 White,400,1.35
advent,03 Oct 2023,Liang Zhuo,"June 16, 1992",China,TyLoo,ZOWIE EC2-CW,400,2
prosus,15 Nov 2023,David Hesse,"March 11, 2003",Germany,BIG,Logitech G Pro X Superlight Black,400,2
zont1x,20 Jan 2024,Myroslav Plakhotja,"July 20, 2005",Ukraine,Team Spirit,Logitech G Pro X Superlight 2 Magenta,800,1.05
br0,02 Mar 2024,Alexander Bro,"May 4, 2002",Denmark,Astralis,SteelSeries Rival 3,700,1.5
S3NSEY,21 Nov 2023,Efekan Topaloglu,"May 17, 2003",Austria,Free Agent,Pulsar Xlite V2 Wireless Red,400,2
adamS,06 Jan 2024,Adam Marian,"June 22, 2001",Romania,KOI,Logitech G Pro X Superlight White,400,2.2
sstiNiX,28 Dec 2023,Dmitry Khlebnikov,"November 1, 2004",Russia,Free Agent,VAXEE XE Wireless Yellow,400,2.869
910,21 Nov 2023,Usukhbayar Banzragch,N/A,Mongolia,The Mongolz,Logitech G Pro X Superlight White,400,2.7
mzinho,13 Sep 2023,Ayush Batbold,N/A,Mongolia,The Mongolz,Logitech G Pro X Superlight Red,Unknown,Unknown
Patti,18 Mar 2024,Patrick Larsen,"March 25, 1998",Denmark,ECSTATIC,Logitech G Pro X Superlight 2 White,400,1.4
salazar,13 Mar 2024,Jason Salazar,"August 27, 2004",Denmark,ECSTATIC,VAXEE OUTSET AX Wireless Pink,400,2.35
reck,21 Nov 2023,Ethan Serrano,"November 22, 2003",United States,M80,ZOWIE FK2,400,3.7
Vegi,03 Feb 2024,Arkadiusz Nawojski,"May 19, 2000",Poland,Permitta Esports,Video,800,1.1
olimp,13 Mar 2024,Patryk Woźniak,"February 7, 2000",Poland,Rebels Gaming,ZOWIE EC2-B Divina Pink,400,0.58
sNx,03 Feb 2024,Rafał Snopek,"June 10, 2002",Poland,Rebels Gaming,VAXEE OUTSET AX Yellow,400,1.78
MoDo,12 Oct 2023,Mădălin-Andrei Mirea,"June 1, 2003",Romania,TSM,Logitech G Pro X Superlight Black,400,2
Senzu,04 Mar 2024,Azbayar Munkhbold,"August 11, 2006",Mongolia,The Mongolz,Logitech G Pro X Superlight Black,400,3
Westmelon,23 Sep 2023,Niu Zhe,"February 4, 2001",China,Lynn Vision,ZOWIE FK2-C,400,2.92
EmiliaQAQ,11 Mar 2024,Tang Junjie,"August 23, 2004",China,Lynn Vision,ZOWIE EC2-CW,800,1.35
Jee,18 Mar 2024,Ji Dongkai,"December 21, 2004",China,Lynn Vision,Logitech G Pro X Superlight 2 Black,400,2
delle,08 Nov 2023,Jonathan Ahlstedt,N/A,Sweden,AGO,Razer Viper V2 Pro White,800,0.69
tAk,06 Jan 2024,Villius Keserauskas,N/A,Lithuania,Free Agent,Razer Deathadder V3 Pro White,400,2
Svedjehed,04 Jan 2024,Leo Svedjehed,"July 22, 2003",Sweden,Copenhagen Wolves,ZOWIE EC2-CW,800,1
DEPRESHN,26 Feb 2024,Filip Jarkić,"May 10, 2003",Croatia,Free Agent,Razer Deathadder V3 Pro White,800,1.3
Dementor,08 Nov 2023,Arbnor Pacolli,"June 7, 1999",Kosovo,AGO,Razer Viper V2 Pro White,400,2
noway,19 Mar 2024,Kaiky Santos,N/A,Brazil,Imperial Esports,ZOWIE EC2-CW,400,1.6
expro,11 Oct 2023,Yang Heng,"August 12, 1998",China,Rare Atom,Video,Unknown,Unknown
HUASOPEEK,02 Nov 2023,Matias Ibañez Hernandez,N/A,Chile,9z Team,Logitech G Pro X Superlight 2 Black,800,0.7
sense,18 Mar 2024,Ådne Fredriksen,"September 30, 2003",Norway,Apeks,Logitech G Pro X Superlight 2 Black,800,1
danistzz,17 Oct 2023,Danil Roslyakov,N/A,Russia,BetBoom Team,Logitech G Pro X Superlight 2 Black,400,2.22
austin,09 Jan 2024,Austin Meadows,N/A,United States,Content Creator,Razer Deathadder V3 Pro Black,2000,0.26
Dragon,30 Dec 2023,Nikola Boskovic,"December 19, 1999",Serbia,The Witchers,Logitech G Pro X Superlight 2 Black,400,1.5
Chay,21 Nov 2023,Richard Seidy,"August 17, 2001",Brazil,Fluxo,ZOWIE EC1-CW,1600,1.37
sirah,09 Dec 2023,William Kjærsgaard,N/A,Denmark,MOUZ NXT,VAXEE ZYGEN NP-01S,800,1.2
decenty,18 Mar 2024,Lucas Bacelar,"March 1, 2004",Brazil,Imperial Esports,VAXEE OUTSET AX Wireless Orange,400,1.6
Robiin,06 Mar 2024,Robin Sjögren,"February 3, 1995",Sweden,Alliance,Razer Viper V2 Pro Black,400,2.1
Avid,06 Mar 2024,Arvid Åberg,N/A,Sweden,Alliance,Razer Viper V2 Pro Black,800,1.1
oxygeN,18 Nov 2023,Blagoy Dimitrov,"May 15, 2003",Bulgaria,Entropiq,Logitech G Pro X Superlight Black,400,1.55
c0llins,12 Jan 2024,Luka Živanović,"August 18, 1998",Serbia,Entropiq,Razer Deathadder V3 Pro White,400,2
kauez,24 Nov 2023,Kaue Kaschuk,"May 8, 2003",Brazil,paiN Gaming,Logitech G Pro X Superlight Black,400,2.5
